Date,Local Route,Light Rail,Peak Service,Rapid Route,School,Other,Total
31/08/2024,142919,174052,0,258772,0,603,576346
30/08/2024,495362,322637,6781,573422,118295,1778,1518276
29/08/2024,520408,332944,9222,629028,143883,3255,1638741
28/08/2024,508352,345150,10036,633429,139965,3195,1640127
27/08/2024,521433,336742,10579,630535,150815,1959,1652062
26/08/2024,492590,313685,9735,582554,148735,1959,1549258
25/08/2024,71941,134630,0,186469,0,693,393734
24/08/2024,142497,191743,0,253076,0,633,587949
23/08/2024,494820,327760,8017,575381,139121,1989,1547088
22/08/2024,472939,334632,9494,608504,54371,2773,1482712
21/08/2024,515887,342679,10579,632916,143371,3074,1648506
20/08/2024,521855,338912,10729,622036,145932,2200,1641664
19/08/2024,506454,315132,9403,581560,143099,2682,1558330
18/08/2024,81948,135052,0,197470,0,392,414862
17/08/2024,147409,175227,0,248374,0,663,571674
16/08/2024,496297,325409,7716,576707,140990,2863,1549982
15/08/2024,525803,338490,9675,628215,136348,2743,1641272
14/08/2024,517605,332281,10579,617455,147349,1537,1626806
13/08/2024,526888,339786,11121,643465,145812,2260,1669332
12/8/2024,503530,313957,10307,589215,153588,2049,1572646
11/8/2024,82701,134178,0,204221,0,422,421522
10/8/2024,145721,190749,0,260370,0,512,597352
9/8/2024,488250,325108,7354,572548,143973,1869,1539102
8/8/2024,510191,340298,9162,625773,151779,3044,1640248
7/8/2024,527581,352474,10518,641596,149519,2291,1683979
6/8/2024,533157,339936,11302,645695,153527,2562,1686179
5/8/2024,492981,311636,10760,570679,144395,1929,1532381
4/8/2024,80471,139091,0,202744,0,392,422698
3/8/2024,144787,186047,0,259887,60,784,591566
2/8/2024,510221,327760,7716,576346,140266,1929,1564237
1/8/2024,519142,334963,10036,625623,151629,2381,1643774
31/07/2024,525441,346537,10307,631018,146053,2321,1661676
30/07/2024,526797,347712,11091,634966,152473,2321,1675359
29/07/2024,505489,313414,9433,594971,153678,2351,1579337
28/07/2024,80079,133997,0,204884,0,603,419563
