MTW06P Method of Travel to Work (6 travel modes),Public Transport,Vehicle,Active Transport,Other Mode,Worked at home or Did not go to work,Not applicable,Mode not stated,Total
2000,5224,1694,6415,129,1455,11037,205,26166
2006,131,111,114,5,195,664,23,1243
2007,1238,560,1373,27,448,4772,47,8466
2008,2226,826,1558,40,637,5961,60,11305
2009,1818,1881,3077,40,903,3823,76,11625
2010,5976,3172,6253,109,1660,9080,124,26380
2011,4527,2318,3575,496,1220,8175,100,20411
2015,2695,2264,921,44,714,2133,39,8814
2016,3055,1754,1795,61,767,4814,63,12301
2017,5118,4223,1599,82,1215,10523,105,22864
2018,2402,4228,512,49,799,6366,72,14433
2019,979,3774,217,39,590,2960,44,8608
2020,3138,3496,655,55,798,4608,72,12814
2021,2950,2950,1819,51,1238,4233,68,13313
2022,2868,1961,785,47,833,4100,71,10670
2023,1501,2720,344,34,808,3313,58,8774
2024,1741,2581,479,26,828,3347,37,9043
2025,1355,1468,378,31,559,2495,31,6313
2026,6760,7960,1520,116,2171,9116,173,27818
2027,1467,1581,387,38,592,3182,38,7292
2028,976,926,236,20,360,1576,18,4111
2029,1430,2604,248,33,685,3114,49,8168
2030,1178,3970,232,77,1075,4508,52,11090
2031,6068,8092,2367,125,2421,10023,120,29220
2032,2127,2860,784,29,758,8192,58,14798
2033,1963,2412,576,32,655,4441,33,10112
2034,3568,5468,835,75,1463,5939,104,17455
2035,4067,9163,712,102,2021,12596,128,28794
2036,2376,8654,504,63,1499,12047,147,25285
2037,2883,2602,1834,43,1099,6041,61,14566
2038,1669,2287,585,36,740,2531,50,7887
2039,1753,2155,448,20,647,2155,33,7216
2040,3612,5497,887,78,1626,5989,89,17778
2041,2944,3391,644,63,1289,4574,47,12950
2042,5340,2999,1893,69,1442,5356,99,17200
2043,2508,1552,722,19,591,1708,23,7125
2044,1853,1789,339,24,474,2138,49,6670
2045,686,1694,151,17,472,2203,28,5255
2046,3046,8163,412,81,1816,8425,88,22031
2047,1896,3290,277,33,793,3715,44,10040
2048,1981,1599,447,34,571,2169,32,6826
2049,2733,2300,494,29,802,3347,39,9740
2050,2068,1635,949,34,608,2964,40,8285
2052,251,86,245,3,289,2497,44,3411
2060,3609,2237,1436,60,982,4195,46,12565
2061,1612,880,440,30,469,2053,25,5501
2062,1250,1787,388,27,552,1707,23,5724
2063,750,1459,136,10,503,2039,23,4921
2064,2430,1658,314,34,600,2639,28,7696
2065,7432,5963,2127,106,2237,7774,98,25732
2066,5086,8509,825,75,2179,8775,85,25536
2067,4892,4163,1679,64,1462,9718,91,22077
2068,2285,4009,390,47,1246,4867,54,12901
