Suburb,Nil distance,Over 0 km to less than 2.5 km,2.5 km to less than 10 km,10 km to less than 30 km,30 km to less than 50 km,50 km to less than 250 km,250 km and over,Not applicable,Total
Braidwood,246,246,108,263,82,570,48,1673,3225
Karabar,137,374,1371,2066,30,22,30,2603,6622
Queanbeyan,157,1027,1568,2566,25,33,56,3743,9169
Queanbeyan - East,67,429,616,1354,14,20,48,1436,3984
Queanbeyan Region,734,246,315,3272,3010,650,111,5034,13376
Queanbeyan West - Jerrabomberra,265,250,1627,4529,103,34,89,2835,9728
Bombala,107,313,186,171,107,100,23,989,1991
Cooma,147,1337,858,13,63,293,35,2927,5677
Cooma Region,267,43,218,361,179,377,39,1239,2720
Jindabyne - Berridale,400,612,513,639,882,433,244,1990,5711
Batemans Bay,210,336,1047,506,107,129,48,4068,6452
Batemans Bay - South,263,169,1189,728,118,144,87,4467,7162
Bega - Tathra,234,966,925,824,174,100,58,3565,6852
Bega-Eden Hinterland,542,70,353,1348,767,299,88,3864,7334
Broulee - Tomakin,122,151,128,662,14,53,30,1627,2790
Deua - Wadbilliga,0,0,0,4,0,0,0,15,25
Eden,65,512,204,184,11,80,24,1636,2717
Eurobodalla Hinterland,205,48,169,592,134,95,50,1524,2823
Merimbula - Tura Beach,368,670,1240,662,691,104,109,5311,9154
Moruya - Tuross Head,251,528,656,763,307,102,64,4210,6893
Narooma - Bermagui,379,573,756,290,284,237,87,5235,7831
Goulburn,425,2626,4449,249,298,1180,87,9421,18738
Goulburn Region,856,449,449,1243,1067,1203,79,5083,10428
Yass,167,857,440,64,49,1142,79,2385,5181
Yass Region,783,105,187,1178,2194,1109,98,3441,9089
Young,296,1497,1413,318,139,227,78,4377,8348
Young Region,506,452,260,738,465,462,79,3096,6060
Avoca Beach - Copacabana,421,197,392,1486,89,760,37,2354,5741
Box Head - MacMasters Beach,536,179,771,1571,177,1179,33,4388,8836
Calga - Kulnura,513,67,218,491,337,449,21,1859,3955
Erina - Green Point,559,506,1765,1128,139,1195,50,6327,11675
Gosford - Springfield,482,1281,2655,1275,203,2216,52,7535,15692
Kariong,178,171,670,636,332,976,20,1988,4967
Kincumber - Picketts Valley,197,294,545,1019,74,602,35,3294,6057
Narara,175,130,1211,659,60,887,19,2183,5321
Niagara Park - Lisarow,223,209,1141,1102,63,933,23,2663,6355
Point Clare - Koolewong,210,141,842,386,91,986,20,2412,5087
Saratoga - Davistown,280,170,633,1108,112,629,21,2663,5624
Terrigal - North Avoca,641,441,1467,2166,104,1343,58,4744,10967
Umina - Booker Bay - Patonga,648,1030,1289,2184,465,2847,77,11184,19734
Wamberal - Forresters Beach,422,206,1113,1677,65,848,47,3285,7652
Woy Woy - Blackwall,304,652,588,1246,238,1885,32,6852,11804
Wyoming,245,424,1527,933,102,1197,22,4899,9351
Bateau Bay - Killarney Vale,585,764,2051,3631,170,1383,65,9192,17854
Blue Haven - San Remo,173,141,953,1314,833,794,36,4204,8460
Budgewoi - Buff Point - Halekulani,204,226,510,1182,596,519,35,4500,7778
Chittaway Bay - Tumbi Umbi,484,343,2199,2175,137,1370,44,5563,12313
Gorokan - Kanwal - Charmhaven,431,809,1920,2087,973,1411,68,10431,18128
Jilliby - Yarramalong,230,28,203,550,172,329,7,1205,2723
Lake Munmorah - Mannering Park,250,137,329,1550,821,500,49,5401,9041
Ourimbah - Fountaindale,172,88,593,837,44,578,27,1558,3889
Summerland Point - Gwandalan,136,105,103,664,690,429,36,2568,4728
The Entrance,363,696,817,2393,143,886,58,7220,12581
Toukley - Norah Head,220,366,545,1063,397,514,40,5112,8258
Tuggerah - Kangy Angy,154,209,544,761,37,610,17,1863,4182
Warnervale - Wadalba,417,264,1814,1651,647,1496,61,5062,11418
Wyong,149,257,974,901,83,733,18,4019,7136
Bathurst,557,2570,5364,324,277,936,93,9390,19516
Bathurst - East,272,369,3255,173,198,458,37,3719,8473
Bathurst Region,488,38,107,1522,437,325,41,2723,5694
Oberon,240,602,276,255,240,210,5,2035,3864
Condobolin,150,1030,241,148,160,735,96,2653,5206
Cowra,245,1228,1252,174,101,187,58,4283,7516
Cowra Region,471,238,232,623,301,258,50,2291,4470
Forbes,467,1309,932,359,563,323,95,4089,8131
Grenfell,260,419,89,180,171,229,25,1671,3041
Parkes (NSW),219,1962,1112,326,279,229,110,4446,8691
Parkes Region,290,125,73,351,228,210,28,1451,2755
West Wyalong,455,739,310,174,402,305,61,2269,4704
Lithgow,188,1459,1316,609,281,464,43,6307,10671
Lithgow Region,360,175,227,1434,374,519,44,3680,6820
Mudgee,255,1510,1870,125,668,310,105,4285,9136
Mudgee Region - East,151,164,178,149,78,318,13,1849,2897
Mudgee Region - West,566,386,268,1199,853,469,115,4479,8329
Wollangambe - Wollemi,0,0,0,0,0,0,0,0,0
Blayney,392,465,258,845,880,229,47,2642,5761
Orange,402,2489,3514,235,333,316,104,8134,15532
Orange - North,517,1052,5870,497,534,409,148,5944,14963
Orange Region,774,367,527,2185,938,388,127,3761,9062
Grafton,323,2015,3115,252,113,290,123,8967,15191
Grafton Region,676,88,587,2324,966,489,163,7507,12805
Maclean - Yamba - Iluka,522,1033,1230,1149,356,465,211,9078,14044
Bellingen,288,412,241,462,568,59,67,2470,4568
Coffs Harbour - North,473,1173,3913,563,176,137,131,7689,14254
Coffs Harbour - South,272,1110,1919,221,139,99,84,4851,8686
Coramba - Nana Glen - Bucca,242,24,91,991,139,67,45,1473,3066
Dorrigo,239,176,159,214,179,110,28,1619,2727
Korora - Emerald Beach,422,123,1090,1816,71,172,124,3120,6944
Sawtell - Boambee,534,758,3593,2256,194,155,158,8193,15839
Urunga,154,145,248,921,105,45,53,2351,4019
Woolgoolga - Arrawarra,317,435,844,1865,660,289,140,5731,10280
Bourke - Brewarrina,141,706,93,83,22,261,72,1689,3070
Cobar,143,1032,453,70,3,206,46,1670,3628
Coonamble,197,565,142,151,115,285,29,1774,3253
Nyngan - Warren,209,767,210,122,99,571,33,1955,3965
Walgett - Lightning Ridge,356,816,91,94,89,574,72,3034,5126
Broken Hill,222,2531,3739,3,3,52,205,8006,14763
Far West,173,65,5,16,33,403,221,1109,2030
Coonabarabran,441,864,285,369,263,462,83,3763,6539
Dubbo - East,217,620,3109,422,87,79,90,3580,8208
Dubbo - South,354,1922,4919,111,141,203,187,5641,13480
Dubbo - West,171,546,2602,111,51,118,81,3071,6756
Dubbo Region,370,10,235,1509,294,166,57,1782,4436
Gilgandra,295,555,227,170,178,305,39,1775,3551
Narromine,395,569,264,267,629,328,57,2616,5126
Wellington,366,638,355,472,372,437,91,4493,7224
Branxton - Greta - Pokolbin,394,169,377,1954,867,764,52,3246,7827
Cessnock,283,1427,1726,1472,1712,782,61,10163,17635
Cessnock Region,330,43,259,1115,621,714,30,3268,6386
Dungog,433,439,285,686,870,868,43,3683,7315
Kurri Kurri - Abermain,248,562,865,2846,1369,566,71,7504,14033
Singleton,396,999,2504,1367,1190,745,118,5316,12643
Singleton Region,302,14,144,812,443,365,35,1800,3909
Maitland,141,228,750,747,655,245,27,2425,5228
Maitland - East,586,998,3205,4420,1184,963,156,10239,21758
Maitland - North,286,167,1068,857,737,384,59,2334,5889
Maitland - West,420,867,2564,2182,2370,912,128,7892,17328
Thornton - Millers Forest,275,200,1049,2766,274,316,67,2771,7712
Anna Bay,192,156,653,533,325,303,44,2576,4789
Lemon Tree Passage - Tanilba Bay,146,240,155,373,965,213,44,3359,5498
Nelson Bay Peninsula,714,1196,2462,508,899,1462,135,10481,17868
Raymond Terrace,203,484,874,2716,467,211,54,5962,10968
Seaham - Woodville,276,43,179,1209,646,205,41,1734,4326
Tea Gardens - Hawks Nest,147,248,242,148,61,449,20,3231,4554
Williamtown - Medowie - Karuah,413,350,657,1989,1858,308,121,5121,10816
Muswellbrook,175,1013,1952,1016,285,265,34,4560,9310
Muswellbrook Region,191,199,142,763,296,224,13,1326,3155
Scone,148,841,638,350,373,174,31,2051,4609
Scone Region,423,413,304,1133,511,669,73,3066,6597
Dapto - Avondale,360,660,1796,4766,201,1294,70,9894,19043
Horsley - Kembla Grange,170,166,690,2434,59,574,24,2472,6587
Port Kembla Industrial,0,0,0,0,0,0,0,10,13
Unanderra - Mount Kembla,332,348,3659,1229,151,958,58,5754,12498
Berkeley - Lake Heights - Cringila,202,274,2441,1063,45,690,27,6363,11105
Port Kembla - Warrawong,96,561,962,767,41,428,32,5092,7986
Windang - Primbee,63,88,465,647,25,217,12,2196,3709
Illawarra Catchment Reserve,0,0,0,0,3,0,0,0,7
Albion Park - Macquarie Pass,353,376,1329,3371,163,892,58,4630,11180
Albion Park Rail,116,186,744,1266,48,351,24,2888,5636
Kiama,277,593,283,759,758,370,40,3483,6569
Kiama Downs - Minnamurra,208,119,482,1102,358,304,27,2148,4753
Kiama Hinterland - Gerringong,408,391,307,911,855,364,51,3176,6452
Shellharbour - Flinders,444,505,1938,3470,133,1115,94,5329,13020
Shellharbour - Oak Flats,214,589,864,1967,42,518,34,4013,8253
Warilla,257,840,1645,3183,63,858,67,9860,16772
Balgownie - Fairy Meadow,434,897,3943,1563,309,1428,70,8987,17638
Corrimal - Tarrawanna - Bellambi,339,637,2525,1286,315,1131,41,6448,12718
Figtree - Keiraville,494,832,4800,1084,202,1452,76,8198,17130
Helensburgh,327,411,281,958,1428,953,35,2475,6875
Thirroul - Austinmer - Coalcliff,468,465,605,1591,667,1419,45,3748,8998
Woonona - Bulli - Russell Vale,547,831,2184,2255,874,1897,79,7036,15693
Wollongong - East,208,2201,1657,769,156,1073,58,6818,12945
Wollongong - West,283,1803,2739,773,165,1168,56,7159,14149
Bulahdelah - Stroud,271,287,141,249,284,457,43,2235,3962
Forster,324,1162,1920,203,434,116,141,7962,12257
Forster-Tuncurry Region,271,123,178,663,298,185,97,3226,5048
Tuncurry,108,541,578,41,189,35,49,4038,5568
Kempsey,258,832,1988,706,181,224,71,7613,11868
Kempsey Region,425,193,228,1492,508,255,113,4404,7622
Macksville - Scotts Head,116,334,367,447,42,146,57,2444,3952
Nambucca Heads,141,472,387,441,197,61,38,4094,5827
Nambucca Heads Region,382,116,398,1058,383,200,72,3649,6258
South West Rocks,148,378,281,112,449,57,52,2966,4451
Lord Howe Island,130,0,72,0,0,0,8,117,329
Laurieton - Bonny Hills,453,497,798,2102,788,247,205,9279,14362
Port Macquarie - East,873,1305,7075,754,187,431,279,12232,23144
Port Macquarie - West,425,1284,3323,337,165,167,146,8802,14660
Port Macquarie Region,390,16,263,683,479,221,89,2277,4419
Wauchope,336,472,774,2095,105,128,97,4874,8880
Gloucester,266,464,361,321,85,169,50,2494,4212
Old Bar - Manning Point - Red Head,425,228,248,2170,277,164,137,5123,8766
Taree,333,1498,2960,908,329,203,98,10467,16802
Taree Region,635,170,270,1501,893,403,155,6635,10662
Wingham,80,372,369,801,60,68,41,2649,4428
Albury - East,382,705,3865,1802,135,204,130,4603,11833
Albury - North,186,551,2363,733,87,94,68,3917,7997
Albury - South,301,1354,2059,480,74,163,116,4151,8690
Albury Region,690,643,371,1995,662,576,112,4002,9054
Lavington,247,819,2978,1193,114,119,99,6315,11891
Hay,128,594,179,89,13,203,24,1216,2453
Wentworth - Buronga,202,284,834,734,86,84,58,2546,4820
Wentworth-Balranald Region,332,341,160,127,117,398,77,1372,2916
Corowa,118,821,531,260,161,213,39,2451,4586
Corowa Region,361,385,418,437,617,314,80,2930,5542
Deniliquin,139,1294,1270,39,57,124,39,3201,6166
Deniliquin Region,603,316,290,531,520,598,75,2625,5551
Moama,155,379,1381,106,113,179,33,2477,4827
Tocumwal - Finley - Jerilderie,437,1020,705,829,356,294,74,4333,8041
Armidale,595,2719,4890,463,242,213,237,9866,19225
Armidale Region - North,339,346,188,431,424,192,30,1624,3569
Armidale Region - South,391,244,216,1346,206,140,64,2268,4875
Walcha,361,367,89,167,150,255,28,1244,2663
Glen Innes,425,1153,532,385,248,262,82,4239,7325
Inverell,322,1698,1991,94,42,156,55,4935,9287
Inverell Region - East,369,117,61,611,257,314,56,2460,4247
Inverell Region - West,534,419,117,372,290,486,55,2589,4861
Tenterfield,406,589,292,365,137,412,62,3332,5589
Moree,179,1328,1166,272,48,126,48,3316,6481
Moree Region,635,111,64,468,354,721,37,1778,4170
Narrabri,199,1008,1177,229,207,151,54,2629,5656
Narrabri Region,420,331,95,391,353,334,30,1775,3736
Gunnedah,190,1343,1345,98,97,616,57,3501,7240
Gunnedah Region,421,75,85,630,256,357,36,1480,3336
Quirindi,451,537,358,539,404,526,71,3355,6245
Tamworth - East,480,1408,5692,769,80,243,133,7535,16347
Tamworth - North,255,1560,3656,603,62,194,117,5773,12218
Tamworth - West,66,228,1320,132,25,55,25,2176,4024
Tamworth Region,1005,581,880,3377,1002,813,186,6970,14814
Belmont - Bennetts Green,470,606,1758,3313,602,382,68,7296,14497
Belmont South - Blacksmiths,120,157,425,1082,182,113,27,2665,4758
Charlestown - Dudley,673,1159,4562,3175,465,417,89,8846,19381
Glendale - Cardiff - Hillsborough,544,702,4705,3480,424,463,96,8435,18849
Mount Hutton - Windale,148,239,1090,1299,136,110,22,4110,7149
Redhead,109,111,352,692,72,72,26,1436,2868
Swansea - Caves Beach,319,378,474,2033,608,407,61,5428,9706
Valentine - Eleebana,453,132,1605,2525,359,279,66,4340,9754
Warners Bay - Boolaroo,382,466,1935,2382,305,295,60,5253,11083
Bolton Point - Teralba,193,126,732,1685,214,164,20,3934,7063
Bonnells Bay - Silverwater,286,106,734,689,970,544,40,3730,7090
Edgeworth - Cameron Park,285,293,1522,3590,289,370,62,4461,10864
Morisset - Cooranbong,475,481,952,1222,1325,750,57,7330,12596
Toronto - Awaba,345,497,772,2385,538,394,64,6286,11289
Wangi Wangi - Rathmines,269,181,587,1275,831,350,45,3913,7452
West Wallsend - Barnsley - Killingworth,134,120,539,1699,151,168,20,2335,5164
Adamstown - Kotara,377,791,4421,1075,228,303,93,5217,12493
Beresfield - Hexham,125,229,754,1644,87,155,35,3781,6812
Hamilton - Broadmeadow,287,1280,2573,797,205,289,49,4553,10033
Lambton - New Lambton,413,1177,4415,1082,225,331,70,5553,13260
Maryland - Fletcher - Minmi,257,204,1751,3621,219,317,73,3832,10273
Mayfield - Warabrook,307,941,3345,1506,193,314,76,5931,12608
Merewether - The Junction,442,1056,3457,1253,225,391,73,4347,11249
Newcastle - Cooks Hill,313,1694,1900,1232,248,352,96,3897,9724
Newcastle Port - Kooragang,0,8,0,0,0,0,0,8,18
Shortland - Jesmond,186,374,1945,1146,97,227,56,5938,9959
Stockton - Fullerton Cove,183,244,188,1658,151,127,52,3844,6440
Wallsend - Elermore Vale,365,535,4091,2129,266,390,78,8418,16273
Waratah - North Lambton,216,736,2886,962,129,251,51,4944,10174
Wickham - Carrington - Tighes Hill,169,780,1944,753,162,206,47,2734,6802
Ballina,429,1249,2298,870,899,181,115,8763,14803
Ballina Region,925,408,1135,3619,531,188,148,6775,13726
Bangalow,576,162,391,831,237,115,77,2207,4600
Brunswick Heads - Ocean Shores,435,250,686,944,432,292,62,3722,6832
Byron Bay,567,786,1448,627,289,200,133,4105,8143
Evans Head,127,423,108,359,627,146,47,2542,4380
Lennox Head - Skennars Head,394,346,565,1481,600,138,95,2620,6243
Mullumbimby,489,337,582,926,268,219,74,3642,6541
Casino,178,1273,1230,645,545,137,49,5674,9734
Casino Region,424,110,176,1077,466,249,36,3151,5689
Goonellabah,292,389,3103,903,395,102,70,5407,10658
Kyogle,390,344,326,547,536,338,53,3550,6095
Lismore,303,1873,2300,530,637,88,61,6895,12686
Lismore Region,947,117,811,3380,848,260,124,5853,12337
Kingscliff - Fingal Head,642,516,1164,1550,626,457,184,5590,10735
Murwillumbah,203,729,926,600,366,173,57,4190,7249
Murwillumbah Region,582,92,654,1294,568,348,90,4350,7979
Pottsville,568,435,595,2058,762,506,185,5332,10430
Tweed Heads,546,839,2248,2026,470,425,235,10021,16798
Banora Point,399,431,2662,1438,429,351,175,7309,13195
