,Syd-Mel,Syd-Cbr,Syd-Bne,Mel-Adl,Mel-Bne,Syd-Adl
1999-00,7 169,9 519,5 283,2 554,2 008,1 407
2000-01,8 314,8 616,6 171,2 708,2 477,1 737
2001-02,7 293,9 225,5 400,2 664,2 638,1 397
2002-03,7 066,8 556,5 376,2 588,2 630,1 371
2003-04,7 303,8 681,5 459,2 744,2 948,1 533
2004-05,7 652,7 732,5 511,2 756,2 912,1 525
2005-06,7 761,7 230,5 287,2 805,2 911,1 572
2006-07,8 074,7 741,5 277,2 832,3 038,1 647
2007-08,8 297,7 738,5 831,2 906,3 000,1 755
2008-09,8 213,7 945,5 630,2 939,3 034,1 685
2009-10,8 814,8 157,5 799,3 064,3 119,1 899
2010-11,9 186,8 877,5 952,3 082,3 487,1 965
2011-12,8 915,8 992,5 518,2 924,3 469,1 792
2012-13,9 290,9 237,5 619,2 983,3 490,1 823
2013-14,9 487,9 095,5 551,3 138,3 543,1 968
2014-15,9 940,9 948,5 856,3 163,3 618,1 995
2015-16,10 471,9 698,6 258,3 310,3 735,2 048
2016-17,10 645,10 889,6 499,3 499,3 905,2 039
2017-18,11 329,11 539,6 690,3 704,3 905,2 085
2018-19,11 497,12 637,6 834,3 861,4 010,2 048
2019-20,8 316,10 074,5 297,2 721,3 031,1 510
2020-21,2 690,8 202,2 336,1 127,995,785
2021-22,4 884,6 888,2 993,1 539,1 762,865
2022-23,9 610,11 210,6 146,3 422,3 243,2 054
2023-24,9 639,12 074,6 485,3 666,3 829,1 922
