Month name,Metropolitan train,Metropolitan tram,Metropolitan bus,Regional train,Regional coach,Regional bus,Total
January,13254775,11821351,8335210,1758433,113350,841044,36124163
February,15828610,13427105,10441479,1781717,104337,1115173,42698421
March,17171572,14840535,10596736,2042080,112283,1116628,45879834
April,15943432,14241713,9271098,2009412,114813,1056862,42637330
May,17201139,13914626,10256661,2164662,109868,1247979,44894935
June,14454677,11656478,8706404,1882061,104351,994915,37798886
July,15901814,13019738,9829583,2084437,110936,1068435,42014943
August,17273609,13714916,10737761,2122092,108656,1183307,45140341
September,15323401,11695377,9188549,1970804,107465,1027230,39312826
October,16934209,14575255,10555383,2277335,126770,1193762,45662714
November,14968410,13548253,9323924,2001615,112359,940930,40895491
December,13603360,13101396,8687979,1977501,121320,921439,38412995

