Table 5.2a Inter-capital city passenger travel by city pair - All modes,,,,,,,
Financial year,,,,,,,
,Syd-Mel,Syd-Cbr,Syd-Bne,Mel-Adl,Mel-Bne,Syd-Adl,
,thousand passenger movements,,,,,,
1999-00,7 169,9 519,5 283,2 554,2 008,1 407,
2000-01,8 314,8 616,6 171,2 708,2 477,1 737,
2001-02,7 293,9 225,5 400,2 664,2 638,1 397,
2002-03,7 066,8 556,5 376,2 588,2 630,1 371,
2003-04,7 303,8 681,5 459,2 744,2 948,1 533,
2004-05,7 652,7 732,5 511,2 756,2 912,1 525,
2005-06,7 761,7 230,5 287,2 805,2 911,1 572,
2006-07,8 074,7 741,5 277,2 832,3 038,1 647,
2007-08,8 297,7 738,5 831,2 906,3 000,1 755,
2008-09,8 213,7 945,5 630,2 939,3 034,1 685,
2009-10,8 814,8 157,5 799,3 064,3 119,1 899,
2010-11,9 186,8 877,5 952,3 082,3 487,1 965,
2011-12,8 915,8 992,5 518,2 924,3 469,1 792,
2012-13,9 290,9 237,5 619,2 983,3 490,1 823,
2013-14,9 487,9 095,5 551,3 138,3 543,1 968,
2014-15,9 940,9 948,5 856,3 163,3 618,1 995,
2015-16,10 471,9 698,6 258,3 310,3 735,2 048,
2016-17,10 645,10 889,6 499,3 499,3 905,2 039,
2017-18,11 329,11 539,6 690,3 704,3 905,2 085,
2018-19,11 497,12 637,6 834,3 861,4 010,2 048,
2019-20,8 316,10 074,5 297,2 721,3 031,1 510,
2020-21,2 690,8 202,2 336,1 127, 995, 785,
2021-22,4 884,6 888,2 993,1 539,1 762, 865,
2022-23,9 610,11 210,6 146,3 422,3 243,2 054,
2023-24,9 639,12 074,6 485,3 666,3 829,1 922,
See endnotes,,,,,,,
"Sources: Tourism Research Australia, 2022",,,,,,,
BITRE estimates,,,,,,,
Note: these figures have been impacted by COVID-19,,,,,,,
,,,,,,,
Table 5.2b Inter-capital city passenger travel by city pair - Car,,,,,,,
Financial year,,,,,,,
,Syd-Mel,Syd-Cbr,Syd-Bne,Mel-Adl,Mel-Bne,Syd-Adl,
,thousand passenger movements,,,,,,
1999-00,1 252,7 814,1 531, 916, 246, 172,
2000-01,1 723,7 070,1 440,1 005, 232, 405,
2001-02,1 550,8 025,1 365,1 018, 389, 197,
2002-03,1 410,7 298,1 571, 960, 367, 103,
2003-04,1 003,7 395,1 227, 931, 418, 132,
2004-05,1 110,6 483,1 327, 829, 297, 159,
2005-06,1 201,5 962,1 259, 814, 351, 176,
2006-07,1 155,6 364,1 083, 806, 358, 107,
2007-08,1 061,6 220,1 310, 706, 204, 141,
2008-09,1 134,6 504,1 114, 639, 262, 105,
2009-10, 983,6 626,1 184, 861, 262, 153,
2010-11,1 103,7 157,1 314, 671, 258, 156,
2011-12,1 020,7 454, 977, 735, 258, 60,
2012-13, 896,7 629,1 024, 769, 295, 54,
2013-14,1 018,7 492, 879, 807, 228, 159,
2014-15,1 262,8 481,1 255, 758, 238, 140,
2015-16,1 431,8 105,1 415, 865, 253, 155,
2016-17,1 436,9 243,1 572, 959, 335, 126,
2017-18,1 796,9 689,1 666,1 095, 301, 143,
2018-19,1 937,10 961,1 711,1 222, 345, 139,
2019-20,1 492,8 708,1 562, 770, 300, 148,
2020-21, 921,7 819,1 040, 559, 206, 166,
2021-22,1 096,6 323,1 182, 457, 305, 128,
2022-23,2 048,9 846,1 867,1 089, 376, 118,
2023-24,1 816,10 566,1 965,1 207, 373, 59,
See endnotes,,,,,,,
"Sources: Tourism Research Australia, 2022",,,,,,,
BITRE estimates,,,,,,,
Note that these figures have been impacted by COVID-19,,,,,,,
,,,,,,,
Table 5.2c Inter-capital city passenger travel by city pair - Air,,,,,,,
Financial year,,,,,,,
,Syd-Mel,Syd-Cbr,Syd-Bne,Mel-Adl,Mel-Bne,Syd-Adl,
,thousand passenger movements,,,,,,
1999-00,5 421, 882,3 266,1 352,1 703,1 172,
2000-01,6 183, 929,4 329,1 422,2 153,1 250,
2001-02,5 424, 725,3 718,1 403,2 227,1 161,
2002-03,5 357, 737,3 503,1 428,2 210,1 242,
2003-04,5 964, 857,3 914,1 569,2 449,1 351,
2004-05,6 273, 792,3 834,1 731,2 542,1 345,
2005-06,6 237, 786,3 758,1 839,2 488,1 352,
2006-07,6 625, 829,3 935,1 862,2 633,1 483,
2007-08,6 993, 887,4 246,1 989,2 699,1 577,
2008-09,6 811, 984,4 263,2 196,2 699,1 552,
2009-10,7 640,1 074,4 333,2 097,2 796,1 721,
2010-11,7 907,1 085,4 449,2 299,3 111,1 779,
2011-12,7 728,1 058,4 353,2 071,3 152,1 710,
2012-13,8 201,1 041,4 426,2 115,3 163,1 754,
2013-14,8 275, 994,4 454,2 242,3 276,1 779,
2014-15,8 455, 962,4 408,2 283,3 320,1 817,
2015-16,8 796, 949,4 608,2 363,3 439,1 870,
2016-17,8 974, 955,4 696,2 413,3 500,1 886,
2017-18,9 240, 952,4 788,2 487,3 557,1 909,
2018-19,9 196, 927,4 815,2 507,3 595,1 877,
2019-20,6 603, 664,3 533,1 848,2 671,1 355,
2020-21,1 728, 124,1 238, 547, 773, 617,
2021-22,3 625, 262,1 692,1 040,1 430, 713,
2022-23,7 306, 594,4 044,2 207,3 124,1 605,
2023-24,7 405, 618,4 325,2 332,3 389,1 844,
See endnotes,,,,,,,
"Sources: Tourism Research Australia, 2022",,,,,,,
BITRE estimates,,,,,,,
Note that these figures have been impacted by COVID,,,,,,,
,,,,,,,
"Table 5.2d Inter-capital city passenger travel by city pair - Rail, Coach and Other",,,,,,,
Financial year,,,,,,,
,Syd-Mel,Syd-Cbr,Syd-Bne,Mel-Adl,Mel-Bne,Syd-Adl,
,thousand passenger movements,,,,,,
1999-00, 496, 823, 486, 286, 59, 64,
2000-01, 408, 617, 402, 281, 92, 82,
2001-02, 320, 475, 317, 243, 21, 39,
2002-03, 300, 520, 303, 199, 54, 25,
2003-04, 337, 428, 317, 244, 81, 50,
2004-05, 270, 456, 350, 195, 73, 21,
2005-06, 323, 482, 270, 153, 71, 44,
2006-07, 293, 548, 259, 164, 48, 56,
2007-08, 243, 631, 275, 212, 97, 37,
2008-09, 268, 458, 254, 104, 73, 29,
2009-10, 191, 457, 282, 106, 61, 24,
2010-11, 176, 635, 189, 113, 119, 31,
2011-12, 166, 479, 188, 118, 58, 22,
2012-13, 193, 567, 169, 99, 33, 16,
2013-14, 194, 609, 218, 88, 39, 31,
2014-15, 224, 506, 193, 122, 59, 38,
2015-16, 245, 644, 235, 83, 43, 23,
2016-17, 235, 690, 231, 127, 69, 27,
2017-18, 292, 898, 236, 122, 46, 34,
2018-19, 363, 749, 308, 132, 71, 32,
2019-20, 221, 702, 202, 103, 59, 6,
2020-21, 41, 258, 58, 20, 17, 2,
2021-22, 162, 303, 119, 42, 27, 23,
2022-23, 257, 770, 235, 127, 73, 1,
2023-24, 418, 889, 195, 127, 66, 19,
See endnotes,,,,,,,
"Sources: Tourism Research Australia, 2022",,,,,,,
BITRE estimates,,,,,,,
Note that these figures have been impacted by COVID,,,,,,,
